date,gonjiam,hwadam
2023-01-01,2.9839,0.27762
2023-01-02,3.73009,0.19379
2023-01-03,3.39123,0.20344
2023-01-04,3.07322,0.19466
2023-01-05,3.04645,0.20871
2023-01-06,3.17286,0.2357
2023-01-07,3.1992,0.25963
2023-01-08,3.08902,0.43367
2023-01-09,3.27689,0.28443
2023-01-10,2.8937,0.22912
2023-01-11,2.78835,0.23219
2023-01-12,2.60312,0.22846
2023-01-13,2.77891,0.21442
2023-01-14,2.69486,0.2886
2023-01-15,3.11185,0.24251
2023-01-16,2.88162,0.21551
2023-01-17,2.66369,0.21025
2023-01-18,2.46266,0.19027
2023-01-19,2.44247,0.17798
2023-01-20,2.71132,0.15933
2023-01-21,2.32549,0.20366
2023-01-22,2.82632,0.33578
2023-01-23,3.25099,0.33973
2023-01-24,2.42162,0.19883
2023-01-25,2.71285,0.19225
2023-01-26,2.72163,0.1883
2023-01-27,2.66062,0.19401
2023-01-28,2.53706,0.2379
2023-01-29,2.3696,0.25195
2023-01-30,2.5094,0.21924
2023-01-31,2.22783,0.23175
2023-02-01,2.10031,0.23219
2023-02-02,2.09592,0.26094
2023-02-03,2.25241,0.28179
2023-02-04,2.26974,0.33073
2023-02-05,2.03601,0.35861
2023-02-06,2.20039,0.31713
2023-02-07,1.90565,0.30703
2023-02-08,1.7935,0.29935
2023-02-09,1.77506,0.31866
2023-02-10,1.96863,0.336
2023-02-11,1.96271,0.40689
2023-02-12,1.74017,0.37485
2023-02-13,1.89862,0.51487
2023-02-14,1.66247,0.43608
2023-02-15,1.54594,0.45166
2023-02-16,1.46473,0.38231
2023-02-17,1.4948,0.42094
2023-02-18,1.38528,0.47185
2023-02-19,1.4125,0.47537
2023-02-20,1.43949,0.44947
2023-02-21,1.28543,0.46066
2023-02-22,1.1206,0.63667
2023-02-23,1.10063,0.70317
2023-02-24,1.14145,0.6742
2023-02-25,1.10392,0.70712
2023-02-26,0.96785,0.9165
2023-02-27,0.98366,1.25031
2023-02-28,0.86361,1.34622
2023-03-01,0.67706,1.24417
2023-03-02,0.50785,1.28038
2023-03-03,0.52321,1.30254
2023-03-04,0.41523,1.28148
2023-03-05,0.46988,1.35675
2023-03-06,0.55108,1.86855
2023-03-07,0.584,1.67476
2023-03-08,0.58334,2.36675
2023-03-09,0.61539,3.18098
2023-03-10,0.66872,4.18154
2023-03-11,0.53726,2.0382
2023-03-12,0.48941,1.84924
2023-03-13,0.6437,2.39418
2023-03-14,0.6246,2.60663
2023-03-15,0.66301,2.91235
2023-03-16,0.69286,4.03976
2023-03-17,0.74509,3.57822
2023-03-18,0.60814,2.45915
2023-03-19,0.60858,2.57481
2023-03-20,0.75782,3.26548
2023-03-21,0.70208,3.28896
2023-03-22,0.63404,3.83083
2023-03-23,0.75036,4.60665
2023-03-24,0.708,4.48858
2023-03-25,0.64918,3.87889
2023-03-26,0.67991,4.66525
2023-03-27,0.79842,5.9825
2023-03-28,0.8838,5.94761
2023-03-29,0.7835,6.61809
2023-03-30,0.79645,7.62962
2023-03-31,0.81093,9.14615
2023-04-01,0.7192,7.59845
2023-04-02,0.65379,5.97065
2023-04-03,0.87151,5.13513
2023-04-04,0.80984,4.19668
2023-04-05,0.72468,3.6919
2023-04-06,0.77626,3.85453
2023-04-07,0.80852,4.07246
2023-04-08,0.70976,3.78189
2023-04-09,0.6279,3.20249
2023-04-10,0.85856,2.67949
2023-04-11,0.79886,2.37685
2023-04-12,0.77779,2.57108
2023-04-13,0.79996,2.57415
2023-04-14,0.68123,2.58841
2023-04-15,0.62395,2.36148
2023-04-16,0.6685,2.31013
2023-04-17,0.84912,2.28642
2023-04-18,0.73917,2.04106
2023-04-19,0.73697,2.46288
2023-04-20,0.70186,2.28708
2023-04-21,0.75541,2.95822
2023-04-22,0.66696,3.13687
2023-04-23,0.72622,2.71549
2023-04-24,0.79974,2.30003
2023-04-25,0.74685,2.07749
2023-04-26,0.72732,2.20807
2023-04-27,0.71722,2.50787
2023-04-28,0.75453,2.50019
2023-04-29,0.70208,2.51884
2023-04-30,0.75694,3.11733
2023-05-01,0.72995,2.48197
2023-05-02,0.89082,2.21312
2023-05-03,0.82783,1.8183
2023-05-04,0.78438,1.53847
2023-05-05,0.72073,1.55186
2023-05-06,0.64436,1.58325
2023-05-07,0.62965,1.56591
2023-05-08,0.74465,1.65062
2023-05-09,0.77648,1.67059
2023-05-10,0.68342,1.63285
2023-05-11,0.76199,1.66401
2023-05-12,0.75234,1.77352
2023-05-13,0.64567,2.0742
2023-05-14,0.64875,1.70439
2023-05-15,0.79667,1.42062
2023-05-16,0.76265,1.47592
2023-05-17,0.74509,1.41777
2023-05-18,0.70647,1.38309
2023-05-19,0.77099,1.62451
2023-05-20,0.65006,1.81127
2023-05-21,0.70778,1.56108
2023-05-22,1.61507,1.59641
2023-05-23,0.92703,1.60805
2023-05-24,0.78328,1.45859
2023-05-25,0.82103,1.52509
2023-05-26,0.84649,1.736
2023-05-27,0.76133,1.44344
2023-05-28,0.6922,1.20312
2023-05-29,0.66696,1.42084
2023-05-30,0.88731,1.34337
2023-05-31,0.84298,1.47263
2023-06-01,1.07035,2.595
2023-06-02,0.97137,1.97105
2023-06-03,0.81488,2.34261
2023-06-04,0.88402,2.51862
2023-06-05,0.94064,2.57415
2023-06-06,0.77428,2.30091
2023-06-07,0.87831,1.61287
2023-06-08,0.85307,1.36838
2023-06-09,0.84429,1.51938
2023-06-10,0.65094,1.56218
2023-06-11,0.67881,1.50819
2023-06-12,0.92089,1.43818
2023-06-13,0.8399,1.40591
2023-06-14,0.78547,1.30167
2023-06-15,0.80347,1.3719
2023-06-16,0.841,1.58917
2023-06-17,0.72775,1.64382
2023-06-18,0.67903,1.31835
2023-06-19,0.91979,0.99946
2023-06-20,0.90157,1.05367
2023-06-21,0.80237,1.05081
