date,hwadam_foliage,ski_field,mirasia,mirasia_brunch,damha,sled
2023-01-01,,69.02187,0.23579,0.17074,0.21953,87.15814
2023-01-02,,85.97446,0.34962,0.17887,0.26831,100.0
2023-01-03,,76.60785,0.20326,0.24392,0.27644,72.53269
2023-01-04,,75.12805,0.26831,0.16261,0.22766,79.07253
2023-01-05,,75.2988,0.37401,0.21953,0.21139,71.58145
2023-01-06,0.04065,78.7625,0.21953,0.14635,0.21953,73.00832
2023-01-07,,85.54354,0.26018,0.12196,0.26018,65.51724
2023-01-08,0.04065,77.40466,0.24392,0.17887,0.26018,65.51724
2023-01-09,,87.34043,0.26018,0.16261,0.30083,66.11177
2023-01-10,,78.60801,0.24392,0.13009,0.2927,59.09631
2023-01-11,,73.67265,0.24392,0.187,0.26018,51.0107
2023-01-12,,72.32295,0.28457,0.09756,0.21953,51.84304
2023-01-13,,74.00601,0.34962,0.09756,0.32522,45.65992
2023-01-14,,76.2257,0.25205,0.11383,0.2927,42.33055
2023-01-15,,80.722,0.40653,0.17074,0.43092,50.29726
2023-01-16,0.04878,77.78681,0.31709,0.10569,0.24392,48.63258
2023-01-17,,70.58297,0.27644,0.13822,0.3984,41.85493
2023-01-18,,66.46068,0.41466,0.13009,0.28457,37.81212
2023-01-19,,65.57443,0.31709,0.04878,0.187,34.95838
2023-01-20,,79.51052,0.31709,0.16261,0.21953,34.12604
2023-01-21,,68.08683,0.32522,0.16261,0.30896,36.86087
2023-01-22,0.06504,91.58468,0.34149,0.13009,0.35775,51.24851
2023-01-23,,100.0,0.37401,0.17074,0.62606,60.04756
2023-01-24,0.04878,68.74542,0.39027,0.10569,0.5041,35.90963
2023-01-25,,77.45345,0.30896,0.22766,0.30896,44.47086
2023-01-26,,78.58362,0.26831,0.187,0.44719,42.68727
2023-01-27,,77.29896,0.30083,0.14635,0.37401,44.94649
2023-01-28,0.04878,80.28294,0.24392,0.23579,0.34962,48.39476
2023-01-29,,70.68867,0.17887,0.17074,0.31709,43.63852
2023-01-30,,74.82722,0.28457,0.10569,0.48784,39.95243
2023-01-31,,66.42003,0.33336,0.187,0.28457,37.69322
2023-02-01,,61.30579,0.20326,0.19513,0.22766,39.239
2023-02-02,,60.72851,0.31709,0.12196,0.41466,37.57431
2023-02-03,,65.96471,0.35775,0.21139,0.30896,43.75743
2023-02-04,0.04065,71.00577,0.28457,0.187,0.39027,41.85493
2023-02-05,,60.08618,0.22766,0.22766,0.24392,40.42806
2023-02-06,,65.18416,0.19513,0.21139,0.48784,35.55291
2023-02-07,,54.32962,0.23579,0.15448,0.23579,29.4887
