date,ski_field,hwadam_foliage
2023-01-01,69.02187,
2023-01-02,85.97446,
2023-01-03,76.60785,
2023-01-04,75.12805,
2023-01-05,75.2988,
2023-01-06,78.7625,0.04701
2023-01-07,85.54354,
2023-01-08,77.40466,0.04701
2023-01-09,87.34043,
2023-01-10,78.60801,
2023-01-11,73.67265,
2023-01-12,72.32295,
2023-01-13,74.00601,
2023-01-14,76.2257,
2023-01-15,80.722,
2023-01-16,77.78681,0.05642
2023-01-17,70.58297,
2023-01-18,66.46068,
2023-01-19,65.57443,
2023-01-20,79.51052,
2023-01-21,68.08683,
2023-01-22,91.58468,0.07523
2023-01-23,100.0,
2023-01-24,68.74542,0.05642
2023-01-25,77.45345,
2023-01-26,78.58362,
2023-01-27,77.29896,
2023-01-28,80.28294,0.05642
2023-01-29,70.68867,
2023-01-30,74.82722,
2023-01-31,66.42003,
2023-02-01,61.30579,
2023-02-02,60.72851,
2023-02-03,65.96471,
2023-02-04,71.00577,0.04701
2023-02-05,60.08618,
2023-02-06,65.18416,
2023-02-07,54.32962,
2023-02-08,50.7277,
2023-02-09,49.80892,
2023-02-10,53.72794,
2023-02-11,63.11082,0.04701
2023-02-12,51.93105,0.05642
2023-02-13,53.4515,
2023-02-14,42.83275,
2023-02-15,40.86511,
2023-02-16,40.37726,0.06582
2023-02-17,40.31222,
2023-02-18,39.06008,0.05642
2023-02-19,35.14919,0.05642
2023-02-20,35.40125,
2023-02-21,30.07561,0.04701
2023-02-22,25.96146,0.10344
2023-02-23,25.90454,0.06582
2023-02-24,26.32734,
2023-02-25,28.13236,0.05642
2023-02-26,21.96926,0.06582
2023-02-27,20.14797,0.10344
2023-02-28,17.67623,0.06582
2023-03-01,9.08203,0.08463
2023-03-02,4.55321,0.16926
2023-03-03,3.92714,0.19747
2023-03-04,3.24416,0.08463
2023-03-05,2.47987,0.04701
2023-03-06,2.02455,
2023-03-07,1.37409,0.04701
2023-03-08,1.44727,0.13165
2023-03-09,1.21961,0.10344
2023-03-10,1.06512,0.2539
2023-03-11,1.01634,0.10344
2023-03-12,0.95942,0.17867
2023-03-13,0.98381,0.07523
2023-03-14,0.84559,0.11284
2023-03-15,0.73989,0.07523
2023-03-16,0.73989,0.13165
2023-03-17,0.54475,0.18807
